event_type	event_key	gene_symbol	chromosome	strand	disease_event_id	disease_fdr	sma_mean_inclusion	control_mean_inclusion	disease_delta_sma_minus_control	treatment_event_id	treatment_fdr	scramble_mean_inclusion	r6_mean_inclusion	rmats_delta_scramble_minus_r6	treatment_delta_r6_minus_scramble	S2_scramble_mean	S2_r6_mean	S2_treatment_delta	S3_scramble_mean	S3_r6_mean	S3_treatment_delta	pooled_distance_improvement	S2_distance_improvement	S2_direction_reversal	S3_distance_improvement	S3_direction_reversal	biological_direction_reversal	corrected_rescue	strict_corrected_rescue
RI	RI|ZC3H18|chr16|+|88623218|88623587|88623218|88623344|88623541|88623587	ZC3H18	chr16	+	5458	0.00169727763230068	0.799333333333333	1	-0.201	5529	0.000239876035436427	0.83625	0.93675	-0.101	0.101	0.863	0.90475	0.04175	0.8095	0.96875	0.15925	0.1005	0.04175	TRUE	0.15925	TRUE	TRUE	TRUE	TRUE
RI	RI|ANO8|chr19|-|17327449|17327880|17327449|17327566|17327688|17327880	ANO8	chr19	-	5561	0.000126415653476078	0.6435	0.895	-0.251	5629	6.94178536897383e-05	0.7585	0.932875	-0.174	0.174	0.6835	0.93775	0.25425	0.8335	0.928	0.0944999999999999	0.0986250000000001	0.16875	TRUE	0.0285000000000001	TRUE	TRUE	TRUE	TRUE
RI	RI|COL5A2|chr2|-|189100106|189100418|189100106|189100139|189100333|189100418	COL5A2	chr2	-	8550	0.00174773738121754	0.961	0.703111111111111	0.258	8748	0.000359875866506524	0.953625	0.791875	0.162	-0.162	0.97375	0.8495	-0.12425	0.9335	0.73425	-0.19925	0.16175	0.12425	TRUE	0.19925	TRUE	TRUE	TRUE	TRUE
RI	RI|ASAP1|chr8|-|130115627|130116014|130115627|130115735|130115817|130116014	ASAP1	chr8	-	10372	1.37816596299202e-09	0.778333333333333	0.970444444444444	-0.192	10654	4.93648711145336e-05	0.86575	0.96675	-0.101	0.101	0.813	0.975	0.162	0.9185	0.9585	0.04	0.101	0.152888888888889	TRUE	0.04	TRUE	TRUE	TRUE	TRUE
RI	RI|NAV1|chr1|+|201794171|201794577|201794171|201794376|201794465|201794577	NAV1	chr1	+	11155	1.95923402803403e-07	0.760333333333333	0.967555555555556	-0.207	11457	2.36189867996683e-05	0.85025	0.9515	-0.101	0.101	0.89825	0.98975	0.0915	0.80225	0.91325	0.111	0.10125	0.047111111111111	TRUE	0.111	TRUE	TRUE	TRUE	TRUE
RI	RI|CCNT2|chr2|+|134945786|134946146|134945786|134945975|134946100|134946146	CCNT2	chr2	+	12946	0.0161500394770181	0.762666666666667	0.582444444444444	0.18	13300	0.0399373569799211	0.691	0.495125	0.196	-0.196	0.6545	0.55225	-0.10225	0.7275	0.438	-0.2895	0.0212361111111111	0.0418611111111111	TRUE	0.000611111111111229	TRUE	TRUE	TRUE	TRUE
RI	RI|MTHFD1|chr14|+|64427336|64427761|64427336|64427473|64427651|64427761	MTHFD1	chr14	+	19552	0.00549158431165868	0.9445	0.839666666666667	0.105	20208	0.0363301660896597	0.944625	0.807	0.138	-0.138	0.956	0.85725	-0.09875	0.93325	0.75675	-0.1765	0.0722916666666666	0.09875	TRUE	0.0106666666666667	TRUE	TRUE	TRUE	TRUE
RI	RI|CLCN6|chr1|+|11833175|11833638|11833175|11833383|11833514|11833638	CLCN6	chr1	+	22333	4.21217169670725e-10	0.7845	0.975222222222222	-0.191	23110	0.0168352717476933	0.819625	0.921625	-0.102	0.102	0.93675	0.97625	0.0395000000000001	0.7025	0.867	0.1645	0.102	0.0374444444444444	TRUE	0.1645	TRUE	TRUE	TRUE	TRUE
RI	RI|ENTHD2|chr17|-|81238635|81239091|81238635|81238873|81238985|81239091	ENTHD2	chr17	-	24053	4.30063674424939e-06	0.777	0.970222222222222	-0.193	24949	0.0346635487509826	0.80325	0.919	-0.116	0.116	0.90775	0.941	0.03325	0.69875	0.897	0.19825	0.11575	0.03325	TRUE	0.19825	TRUE	TRUE	TRUE	TRUE
RI	RI|MRFAP1|chr4|+|6641231|6641610|6641231|6641258|6641445|6641610	MRFAP1	chr4	+	24328	2.82722563310586e-13	0.763166666666667	1	-0.237	25232	2.53609090235796e-08	0.790875	0.97525	-0.184	0.184	0.85625	0.9705	0.11425	0.7255	0.98	0.2545	0.184375	0.11425	TRUE	0.2545	TRUE	TRUE	TRUE	TRUE
RI	RI|KIF3C|chr2|-|25956066|25956444|25956066|25956166|25956342|25956444	KIF3C	chr2	-	27387	0.0228204905031773	0.6495	0.854	-0.205	28351	0.0269672687732169	0.7155	0.84525	-0.13	0.13	0.84625	0.85725	0.011	0.58475	0.83325	0.2485	0.12975	0.00450000000000006	TRUE	0.2485	TRUE	TRUE	TRUE	TRUE
RI	RI|C5orf42|chr5|-|37121616|37122104|37121616|37121784|37121867|37122104	C5orf42	chr5	-	27791	0.00117686463637601	0.753666666666667	0.894222222222222	-0.141	28751	0.00149071509303235	0.731875	0.9235	-0.192	0.192	0.7555	0.867	0.1115	0.70825	0.98	0.27175	0.133069444444444	0.1115	TRUE	0.100194444444444	TRUE	TRUE	TRUE	TRUE
RI	RI|PYGB|chr20|+|25288027|25288483|25288027|25288225|25288424|25288483	PYGB	chr20	+	29252	0.00833105462222818	0.639333333333333	0.905444444444444	-0.266	30276	0.000163968803002015	0.69725	0.878625	-0.181	0.181	0.74325	0.86	0.11675	0.65125	0.89725	0.246	0.181375	0.11675	TRUE	0.246	TRUE	TRUE	TRUE	TRUE
RI	RI|LARP1|chr5|+|154799590|154799928|154799590|154799759|154799899|154799928	LARP1	chr5	+	33444	0.000511575626939087	0.807333333333333	0.935333333333333	-0.128	34591	0.037704424368216	0.673875	0.823625	-0.15	0.15	0.76075	0.78525	0.0245	0.587	0.862	0.275	0.14975	0.0245	TRUE	0.275	TRUE	TRUE	TRUE	TRUE
