event_key	event_type	gene_symbol	chromosome	strand	disease_exact_matches	treatment_exact_matches	disease_same_gene_class_candidates	treatment_same_gene_class_candidates	disease_same_locus_candidates	treatment_same_locus_candidates	disease_best_coordinate_matches	treatment_best_coordinate_matches	disease_coordinate_fields	treatment_coordinate_fields	disease_structural_match_reason	treatment_structural_match_reason	disease_best_coordinate_mismatch	treatment_best_coordinate_mismatch	disease_raw_event_id	treatment_raw_event_id	disease_raw_delta	treatment_raw_delta	disease_p_value	disease_rmats_fdr_target_locus_discovery	treatment_p_value	treatment_rmats_fdr_target_locus_discovery	raw_control_mean_psi	raw_sma_mean_psi	raw_scramble_mean_psi	raw_r6_mean_psi	S2_raw_disease_psi	S3_raw_disease_psi	S2_raw_scramble_psi	S3_raw_scramble_psi	S2_raw_r6_psi	S3_raw_r6_psi	S2_raw_treatment_delta	S3_raw_treatment_delta	S2_raw_distance_improvement	S3_raw_distance_improvement	sma_median_informative_jc	control_median_informative_jc	r6_median_informative_jc	scramble_median_informative_jc	minimum_group_median_informative_jc	structurally_recovered	adequate_junction_support	disease_direction_reproduced	treatment_reversal_reproduced	S2_corrected	S3_corrected	both_lines_corrected	strong_raw_confirmation	structural_recovery_reason	raw_confirmation_limiting_reason	disease_within83_q	treatment_within83_q	processed_disease_delta	processed_treatment_delta	processed_disease_fdr	processed_treatment_fdr
A3SS|WDR45|chrX|-|49076644|49076753|49076644|49076750|49077574|49077584	A3SS	WDR45	chrX	-	0	0	9	9	9	9	4	4	6	6	event_coordinate_mismatch	event_coordinate_mismatch	flankingES:raw=49077642,frozen=49077574;flankingEE:raw=49077747,frozen=49077584	flankingES:raw=49077642,frozen=49077574;flankingEE:raw=49077747,frozen=49077584																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch			-0.255	0.333	0.00826152406109792	0.0248668071813784
A3SS|ARPC4-TTLL3|chr3|+|9818580|9818920|9818821|9818920|9813247|9813345	A3SS	ARPC4-TTLL3	chr3	+	0	0	2	2	2	2	5	5	6	6	event_coordinate_mismatch	event_coordinate_mismatch	longExonStart_0base:raw=9818554,frozen=9818580	longExonStart_0base:raw=9818774,frozen=9818580																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch			-0.129	0.118	0.0153488946218787	6.28167546179658e-05
A3SS|CEP131|chr17|-|81192297|81192589|81192297|81192392|81193925|81194127	A3SS	CEP131	chr17	-	0	0	6	6	6	6	0	4	6	6	event_coordinate_mismatch	event_coordinate_mismatch	longExonStart_0base:raw=81191192,frozen=81192297;longExonEnd:raw=81191350,frozen=81192589;shortES:raw=81191192,frozen=81192297;shortEE:raw=81191335,frozen=81192392;flankingES:raw=81192317,frozen=81193925;flankingEE:raw=81192392,frozen=81194127	longExonEnd:raw=81192593,frozen=81192589;flankingEE:raw=81194028,frozen=81194127																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch			-0.264	0.151	5.79696586356897e-05	0.00528802073720883
A3SS|TNPO2|chr19|-|12705681|12706109|12705681|12705830|12706195|12706367	A3SS	TNPO2	chr19	-	0	0	3	6	3	6	4	4	6	6	event_coordinate_mismatch	event_coordinate_mismatch	longExonEnd:raw=12705830,frozen=12706109;shortEE:raw=12705768,frozen=12705830	longExonEnd:raw=12705830,frozen=12706109;shortEE:raw=12705768,frozen=12705830																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch			-0.414	0.281	2.46843973271733e-07	0.00299087704000065
A3SS|DNMT3A|chr2|-|25240639|25240761|25240639|25240730|25243897|25243982	A3SS	DNMT3A	chr2	-	0	0	4	4	4	4	2	4	6	6	event_coordinate_mismatch	event_coordinate_mismatch	longExonStart_0base:raw=25241561,frozen=25240639;longExonEnd:raw=25241777,frozen=25240761;shortES:raw=25241561,frozen=25240639;shortEE:raw=25241707,frozen=25240730	flankingES:raw=25241561,frozen=25243897;flankingEE:raw=25242015,frozen=25243982																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch			0.145	-0.112	0.0463571565561856	0.00023818161698008
MXE|SEPTIN11|chr4|+|76987808|76987870|76995780|76995938|76949713|76949930|76996424|76996539	MXE	SEPTIN11	chr4	+	0	0	0	1	0	1	0	1	8	8	no_same_gene_event_class_candidate	event_coordinate_mismatch		1stExonStart_0base:raw=76996424,frozen=76987808;1stExonEnd:raw=76996539,frozen=76987870;2ndExonStart_0base:raw=77005600,frozen=76995780;2ndExonEnd:raw=77005796,frozen=76995938;upstreamES:raw=76949750,frozen=76949713;downstreamES:raw=77011734,frozen=76996424;downstreamEE:raw=77011921,frozen=76996539																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_no_same_gene_event_class_candidate;treatment_event_coordinate_mismatch	disease_no_same_gene_event_class_candidate;treatment_event_coordinate_mismatch			-0.362	0.2	1.13735272656273e-05	0.00595649668070326
MXE|ANAPC10|chr4|-|145097494|145097562|145097687|145097760|145095984|145096111|145098119|145098219	MXE	ANAPC10	chr4	-	0	0	2	0	2	0	0	0	8	8	event_coordinate_mismatch	no_same_gene_event_class_candidate	1stExonStart_0base:raw=145064571,frozen=145097494;1stExonEnd:raw=145064692,frozen=145097562;2ndExonStart_0base:raw=145081659,frozen=145097687;2ndExonEnd:raw=145081750,frozen=145097760;upstreamES:raw=145033044,frozen=145095984;upstreamEE:raw=145033371,frozen=145096111;downstreamES:raw=145095984,frozen=145098119;downstreamEE:raw=145096111,frozen=145098219																													FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_no_same_gene_event_class_candidate	disease_event_coordinate_mismatch;treatment_no_same_gene_event_class_candidate			0.3	-0.268	0.049051418587668	0.0328015257560306
MXE|DENND3|chr8|+|141144147|141144259|141150097|141150348|141138021|141138137|141150833|141150953	MXE	DENND3	chr8	+	0	0	1	3	1	3	0	5	8	8	event_coordinate_mismatch	event_coordinate_mismatch	1stExonStart_0base:raw=141155848,frozen=141144147;1stExonEnd:raw=141155970,frozen=141144259;2ndExonStart_0base:raw=141160631,frozen=141150097;2ndExonEnd:raw=141160787,frozen=141150348;upstreamES:raw=141151618,frozen=141138021;upstreamEE:raw=141151837,frozen=141138137;downstreamES:raw=141163332,frozen=141150833;downstreamEE:raw=141163429,frozen=141150953	1stExonStart_0base:raw=141141202,frozen=141144147;1stExonEnd:raw=141141324,frozen=141144259;downstreamEE:raw=141150908,frozen=141150953																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch			-0.288	0.172	0.00346857287486957	0.000252392227702644
MXE|CCDC60|chr12|+|119479093|119479201|119488758|119488962|119471993|119472164|119500077|119500168	MXE	CCDC60	chr12	+	0	1	1	3	1	3	0	8	8	8	event_coordinate_mismatch	exact_match	1stExonStart_0base:raw=119488758,frozen=119479093;1stExonEnd:raw=119488866,frozen=119479201;2ndExonStart_0base:raw=119500077,frozen=119488758;2ndExonEnd:raw=119500168,frozen=119488962;upstreamES:raw=119479093,frozen=119471993;upstreamEE:raw=119479201,frozen=119472164;downstreamES:raw=119505068,frozen=119500077;downstreamEE:raw=119505303,frozen=119500168																													FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_exact_match	disease_event_coordinate_mismatch;treatment_exact_match			-0.112	0.129	0.0055334042979154	4.14431883212474e-05
MXE|MGEA5|chr10|-|101803734|101804019|101807823|101807901|101798841|101799455|101817823|101818465	MXE	MGEA5	chr10	-	0	0	19	2	19	2	2	0	8	8	event_coordinate_mismatch	event_coordinate_mismatch	1stExonStart_0base:raw=101800241,frozen=101803734;1stExonEnd:raw=101800400,frozen=101804019;2ndExonStart_0base:raw=101803734,frozen=101807823;2ndExonEnd:raw=101804019,frozen=101807901;downstreamES:raw=101806044,frozen=101817823;downstreamEE:raw=101806143,frozen=101818465	1stExonStart_0base:raw=101812147,frozen=101803734;1stExonEnd:raw=101812380,frozen=101804019;2ndExonStart_0base:raw=101812695,frozen=101807823;2ndExonEnd:raw=101812923,frozen=101807901;upstreamES:raw=101810183,frozen=101798841;upstreamEE:raw=101810314,frozen=101799455;downstreamES:raw=101813029,frozen=101817823;downstreamEE:raw=101813127,frozen=101818465																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch			0.361	-0.313	1.14135339349993e-08	0.021089304823559
MXE|FAT3|chr11|+|92559409|92559705|92696745|92696783|92524633|92524948|92697383|92697445	MXE	FAT3	chr11	+	0	0	6	4	6	4	4	4	8	8	event_coordinate_mismatch	event_coordinate_mismatch	1stExonStart_0base:raw=92525046,frozen=92559409;1stExonEnd:raw=92525083,frozen=92559705;2ndExonStart_0base:raw=92533052,frozen=92696745;2ndExonEnd:raw=92533171,frozen=92696783	1stExonStart_0base:raw=92537810,frozen=92559409;1stExonEnd:raw=92537922,frozen=92559705;2ndExonStart_0base:raw=92559409,frozen=92696745;2ndExonEnd:raw=92559705,frozen=92696783																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch			0.341	-0.384	0.00179107004586607	3.63507882564176e-05
MXE|EIF4G3|chr1|-|20982387|20982408|21002712|21002787|20981047|20981227|21050865|21050994	MXE	EIF4G3	chr1	-	1	1	17	22	17	22	8	8	8	8	exact_match	exact_match			9557	9520	0.314	0.039	0.0489068389788	0.282083058575759	0.812536588504	1	0.517666666666667	0.832	0.5355	0.5745	1	0.664	0.639	0.432	0.533	0.616	-0.106	0.184	0.106	-0.0126666666666668	14.5	27	24	23	14.5	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	recovered	treatment_reversal_not_reproduced	0.1141159576172	1	0.172	-0.107	0.0159278171630955	0.00145577899592665
MXE|SEPTIN10|chr2|-|109567697|109567976|109574580|109574633|109565762|109565859|109585125|109585321	MXE	SEPTIN10	chr2	-	0	0	6	3	6	3	7	7	8	8	event_coordinate_mismatch	event_coordinate_mismatch	1stExonStart_0base:raw=109567814,frozen=109567697	1stExonStart_0base:raw=109567814,frozen=109567697																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch			-0.275	0.239	3.2744494716779e-06	0.0024340295499209
MXE|SEPTIN10|chr2|-|109567832|109567976|109574580|109574633|109565762|109565859|109585125|109585321	MXE	SEPTIN10	chr2	-	0	0	6	3	6	3	7	7	8	8	event_coordinate_mismatch	event_coordinate_mismatch	1stExonStart_0base:raw=109567814,frozen=109567832	1stExonStart_0base:raw=109567814,frozen=109567832																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch			-0.267	0.215	4.30905992919015e-06	0.00422034640942026
MXE|TAOK1|chr17|+|29391918|29392033|29395852|29395991|29390924|29391024|29451454|29451680	MXE	TAOK1	chr17	+	0	0	21	5	21	5	4	4	8	8	event_coordinate_mismatch	event_coordinate_mismatch	2ndExonStart_0base:raw=29398252,frozen=29395852;2ndExonEnd:raw=29398348,frozen=29395991;upstreamES:raw=29390955,frozen=29390924;downstreamEE:raw=29451707,frozen=29451680	2ndExonStart_0base:raw=29398252,frozen=29395852;2ndExonEnd:raw=29398348,frozen=29395991;upstreamES:raw=29390955,frozen=29390924;downstreamEE:raw=29451707,frozen=29451680																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch			0.275	-0.122	3.21692422587147e-07	0.00416455375533111
MXE|SOBP|chr6|+|107529458|107529611|107530917|107531048|107506241|107506427|107533458|107533610	MXE	SOBP	chr6	+	1	0	7	2	7	2	8	0	8	8	exact_match	event_coordinate_mismatch		1stExonStart_0base:raw=107506241,frozen=107529458;1stExonEnd:raw=107506427,frozen=107529611;2ndExonStart_0base:raw=107633513,frozen=107530917;2ndExonEnd:raw=107635469,frozen=107531048;upstreamES:raw=107503656,frozen=107506241;upstreamEE:raw=107503795,frozen=107506427;downstreamES:raw=107658206,frozen=107533458;downstreamEE:raw=107661306,frozen=107533610																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_exact_match;treatment_event_coordinate_mismatch	disease_exact_match;treatment_event_coordinate_mismatch			0.132	-0.114	0.0179223405385666	0.0193016662156459
MXE|CCBL2|chr1|-|88962931|88963087|88964555|88964669|88962058|88962145|88964828|88964978	MXE	CCBL2	chr1	-	0	0	1	0	1	0	7	0	8	8	event_coordinate_mismatch	no_same_gene_event_class_candidate	2ndExonEnd:raw=88964712,frozen=88964669																													FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_no_same_gene_event_class_candidate	disease_event_coordinate_mismatch;treatment_no_same_gene_event_class_candidate			0.288	-0.101	5.50955056784541e-06	0.00708823291991027
MXE|MVD|chr16|-|88657734|88658029|88660519|88660838|88657435|88657582|88663010|88663149	MXE	MVD	chr16	-	0	0	2	0	2	0	1	0	8	8	event_coordinate_mismatch	no_same_gene_event_class_candidate	1stExonStart_0base:raw=88660519,frozen=88657734;1stExonEnd:raw=88660838,frozen=88658029;2ndExonStart_0base:raw=88662023,frozen=88660519;2ndExonEnd:raw=88662167,frozen=88660838;upstreamES:raw=88658649,frozen=88657435;upstreamEE:raw=88658720,frozen=88657582;downstreamEE:raw=88663161,frozen=88663149																													FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_no_same_gene_event_class_candidate	disease_event_coordinate_mismatch;treatment_no_same_gene_event_class_candidate			-0.126	0.135	0.000957076400690159	0.00320263480591262
MXE|BZRAP1|chr17|-|58324788|58325002|58326292|58326419|58323467|58323545|58326682|58326790	MXE	BZRAP1	chr17	-	0	0	0	2	0	2	0	0	8	8	no_same_gene_event_class_candidate	event_coordinate_mismatch		1stExonStart_0base:raw=58326292,frozen=58324788;1stExonEnd:raw=58326421,frozen=58325002;2ndExonStart_0base:raw=58326682,frozen=58326292;2ndExonEnd:raw=58326790,frozen=58326419;upstreamES:raw=58324810,frozen=58323467;upstreamEE:raw=58325002,frozen=58323545;downstreamES:raw=58327587,frozen=58326682;downstreamEE:raw=58328760,frozen=58326790																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_no_same_gene_event_class_candidate;treatment_event_coordinate_mismatch	disease_no_same_gene_event_class_candidate;treatment_event_coordinate_mismatch			-0.101	0.144	0.00523438226775352	0.0371070918420357
MXE|ALMS1|chr2|+|73399257|73399343|73408621|73408747|73385757|73386192|73419122|73419318	MXE	ALMS1	chr2	+	0	0	0	0	0	0	0	0	8	8	no_same_gene_event_class_candidate	no_same_gene_event_class_candidate																														FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_no_same_gene_event_class_candidate;treatment_no_same_gene_event_class_candidate	disease_no_same_gene_event_class_candidate;treatment_no_same_gene_event_class_candidate			-0.191	0.131	4.02893785973227e-05	0.0492566983582346
MXE|POFUT2|chr21|-|45284025|45284140|45285268|45285328|45283382|45283527|45285677|45285928	MXE	POFUT2	chr21	-	0	0	3	0	3	0	4	0	8	8	event_coordinate_mismatch	no_same_gene_event_class_candidate	1stExonStart_0base:raw=45283382,frozen=45284025;1stExonEnd:raw=45283527,frozen=45284140;upstreamES:raw=45282348,frozen=45283382;upstreamEE:raw=45282459,frozen=45283527																													FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_no_same_gene_event_class_candidate	disease_event_coordinate_mismatch;treatment_no_same_gene_event_class_candidate			-0.237	0.193	0.0164076783546608	0.0245365690470388
MXE|POFUT2|chr21|-|45284025|45284140|45285268|45285372|45283382|45283527|45285677|45285928	MXE	POFUT2	chr21	-	0	0	3	0	3	0	3	0	8	8	event_coordinate_mismatch	no_same_gene_event_class_candidate	1stExonStart_0base:raw=45283382,frozen=45284025;1stExonEnd:raw=45283527,frozen=45284140;2ndExonEnd:raw=45285328,frozen=45285372;upstreamES:raw=45282348,frozen=45283382;upstreamEE:raw=45282459,frozen=45283527																													FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_no_same_gene_event_class_candidate	disease_event_coordinate_mismatch;treatment_no_same_gene_event_class_candidate			-0.29	0.312	0.0151762734049668	0.00270854509727639
MXE|POFUT2|chr21|-|45284025|45284230|45285268|45285372|45283382|45283527|45285677|45285928	MXE	POFUT2	chr21	-	0	0	3	0	3	0	4	0	8	8	event_coordinate_mismatch	no_same_gene_event_class_candidate	2ndExonStart_0base:raw=45284426,frozen=45285268;2ndExonEnd:raw=45284518,frozen=45285372;downstreamES:raw=45285268,frozen=45285677;downstreamEE:raw=45285328,frozen=45285928																													FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_no_same_gene_event_class_candidate	disease_event_coordinate_mismatch;treatment_no_same_gene_event_class_candidate			-0.272	0.301	0.0187318858047542	0.00157391210665497
MXE|POFUT2|chr21|-|45284025|45284518|45285268|45285372|45283382|45283527|45285677|45285928	MXE	POFUT2	chr21	-	0	0	3	0	3	0	3	0	8	8	event_coordinate_mismatch	no_same_gene_event_class_candidate	1stExonStart_0base:raw=45283382,frozen=45284025;1stExonEnd:raw=45283527,frozen=45284518;2ndExonEnd:raw=45285328,frozen=45285372;upstreamES:raw=45282348,frozen=45283382;upstreamEE:raw=45282459,frozen=45283527																													FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_no_same_gene_event_class_candidate	disease_event_coordinate_mismatch;treatment_no_same_gene_event_class_candidate			-0.28	0.332	0.0289086989538056	0.00149254101027075
MXE|WDR6|chr3|+|49008908|49009024|49011420|49011459|49007203|49007531|49011634|49014116	MXE	WDR6	chr3	+	0	0	0	0	0	0	0	0	8	8	no_same_gene_event_class_candidate	no_same_gene_event_class_candidate																														FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_no_same_gene_event_class_candidate;treatment_no_same_gene_event_class_candidate	disease_no_same_gene_event_class_candidate;treatment_no_same_gene_event_class_candidate			-0.163	0.203	0.040912536683827	9.79860597746622e-06
MXE|TMEM175|chr4|+|951645|951717|952366|952539|951206|951258|953189|953354	MXE	TMEM175	chr4	+	0	0	2	2	2	2	7	7	8	8	event_coordinate_mismatch	event_coordinate_mismatch	2ndExonEnd:raw=952450,frozen=952539	2ndExonEnd:raw=952450,frozen=952539																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch			0.102	-0.108	0.00208878203518142	0.00643629265758038
MXE|ANAPC10|chr4|-|145097494|145097562|145097687|145098015|145095984|145096111|145098119|145098219	MXE	ANAPC10	chr4	-	0	0	2	0	2	0	0	0	8	8	event_coordinate_mismatch	no_same_gene_event_class_candidate	1stExonStart_0base:raw=145064571,frozen=145097494;1stExonEnd:raw=145064692,frozen=145097562;2ndExonStart_0base:raw=145081659,frozen=145097687;2ndExonEnd:raw=145081750,frozen=145098015;upstreamES:raw=145033044,frozen=145095984;upstreamEE:raw=145033371,frozen=145096111;downstreamES:raw=145095984,frozen=145098119;downstreamEE:raw=145096111,frozen=145098219																													FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_no_same_gene_event_class_candidate	disease_event_coordinate_mismatch;treatment_no_same_gene_event_class_candidate			0.304	-0.177	0.0397082169435945	0.0291452445173535
RI|ABCA1|chr9|-|104799571|104799988|104799571|104799733|104799818|104799988	RI	ABCA1	chr9	-	1	0	2	0	2	0	6	0	6	6	exact_match	no_same_gene_event_class_candidate																														FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_exact_match;treatment_no_same_gene_event_class_candidate	disease_exact_match;treatment_no_same_gene_event_class_candidate			-0.375	0.309	2.06693300046761e-05	0.00026183959298312
RI|ZC3H18|chr16|+|88623218|88623587|88623218|88623344|88623541|88623587	RI	ZC3H18	chr16	+	0	0	1	2	1	2	0	0	6	6	event_coordinate_mismatch	event_coordinate_mismatch	riExonStart_0base:raw=88622196,frozen=88623218;riExonEnd:raw=88623344,frozen=88623587;upstreamES:raw=88622196,frozen=88623218;upstreamEE:raw=88622388,frozen=88623344;downstreamES:raw=88623218,frozen=88623541;downstreamEE:raw=88623344,frozen=88623587	riExonStart_0base:raw=88622196,frozen=88623218;riExonEnd:raw=88623344,frozen=88623587;upstreamES:raw=88622196,frozen=88623218;upstreamEE:raw=88622388,frozen=88623344;downstreamES:raw=88623218,frozen=88623541;downstreamEE:raw=88623344,frozen=88623587																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch			-0.201	0.101	0.00169727763230068	0.000239876035436427
RI|ANO8|chr19|-|17327449|17327880|17327449|17327566|17327688|17327880	RI	ANO8	chr19	-	0	0	4	0	4	0	4	0	6	6	event_coordinate_mismatch	no_same_gene_event_class_candidate	riExonStart_0base:raw=17327452,frozen=17327449;upstreamES:raw=17327452,frozen=17327449																													FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_no_same_gene_event_class_candidate	disease_event_coordinate_mismatch;treatment_no_same_gene_event_class_candidate			-0.251	0.174	0.000126415653476078	6.94178536897383e-05
RI|COL5A2|chr2|-|189100106|189100418|189100106|189100139|189100333|189100418	RI	COL5A2	chr2	-	1	1	1	1	1	1	6	6	6	6	exact_match	exact_match			13264	13258	-0.01	-0.041	1	1	1	1	0.8665	0.857	1	0.9585	1	0.714	1	1	0.917	1	-0.083	0	0.083	0	13	13	13	14	13	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	recovered	disease_direction_not_reproduced	1	1	0.258	-0.162	0.00174773738121754	0.000359875866506524
RI|ASAP1|chr8|-|130115627|130116014|130115627|130115735|130115817|130116014	RI	ASAP1	chr8	-	1	1	1	1	1	1	6	6	6	6	exact_match	exact_match			13318	13284	-0.372	0.303	0.0253365336398	0.108735956870808	0.360551018998	0.74295361490497	1	0.628	0.6965	1	0.764	0.492	1	0.393	1	1	0	0.607	0	0.607	5.5	6	2.5	3	2.5	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	recovered	insufficient_junction_support	0.0886778677393	0.841285710995333	-0.192	0.101	1.37816596299202e-09	4.93648711145336e-05
RI|NAV1|chr1|+|201794171|201794577|201794171|201794376|201794465|201794577	RI	NAV1	chr1	+	0	0	1	1	1	1	0	0	6	6	event_coordinate_mismatch	event_coordinate_mismatch	riExonStart_0base:raw=201790553,frozen=201794171;riExonEnd:raw=201790850,frozen=201794577;upstreamES:raw=201790553,frozen=201794171;upstreamEE:raw=201790577,frozen=201794376;downstreamES:raw=201790688,frozen=201794465;downstreamEE:raw=201790850,frozen=201794577	riExonStart_0base:raw=201790553,frozen=201794171;riExonEnd:raw=201790850,frozen=201794577;upstreamES:raw=201790553,frozen=201794171;upstreamEE:raw=201790577,frozen=201794376;downstreamES:raw=201790688,frozen=201794465;downstreamEE:raw=201790850,frozen=201794577																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch			-0.207	0.101	1.95923402803403e-07	2.36189867996683e-05
RI|CCNT2|chr2|+|134945786|134946146|134945786|134945975|134946100|134946146	RI	CCNT2	chr2	+	0	0	0	0	0	0	0	0	6	6	no_same_gene_event_class_candidate	no_same_gene_event_class_candidate																														FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_no_same_gene_event_class_candidate;treatment_no_same_gene_event_class_candidate	disease_no_same_gene_event_class_candidate;treatment_no_same_gene_event_class_candidate			0.18	-0.196	0.0161500394770181	0.0399373569799211
RI|MTHFD1|chr14|+|64427336|64427761|64427336|64427473|64427651|64427761	RI	MTHFD1	chr14	+	0	0	0	0	0	0	0	0	6	6	no_same_gene_event_class_candidate	no_same_gene_event_class_candidate																														FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_no_same_gene_event_class_candidate;treatment_no_same_gene_event_class_candidate	disease_no_same_gene_event_class_candidate;treatment_no_same_gene_event_class_candidate			0.105	-0.138	0.00549158431165868	0.0363301660896597
RI|CLCN6|chr1|+|11833175|11833638|11833175|11833383|11833514|11833638	RI	CLCN6	chr1	+	1	0	1	0	1	0	6	0	6	6	exact_match	no_same_gene_event_class_candidate																														FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_exact_match;treatment_no_same_gene_event_class_candidate	disease_exact_match;treatment_no_same_gene_event_class_candidate			-0.191	0.102	4.21217169670725e-10	0.0168352717476933
RI|ENTHD2|chr17|-|81238635|81239091|81238635|81238873|81238985|81239091	RI	ENTHD2	chr17	-	0	0	1	1	1	1	0	0	6	6	event_coordinate_mismatch	event_coordinate_mismatch	riExonStart_0base:raw=81236979,frozen=81238635;riExonEnd:raw=81237459,frozen=81239091;upstreamES:raw=81236979,frozen=81238635;upstreamEE:raw=81237071,frozen=81238873;downstreamES:raw=81237386,frozen=81238985;downstreamEE:raw=81237459,frozen=81239091	riExonStart_0base:raw=81236979,frozen=81238635;riExonEnd:raw=81237459,frozen=81239091;upstreamES:raw=81236979,frozen=81238635;upstreamEE:raw=81237071,frozen=81238873;downstreamES:raw=81237386,frozen=81238985;downstreamEE:raw=81237459,frozen=81239091																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch			-0.193	0.116	4.30063674424939e-06	0.0346635487509826
