event_key	event_type	gene_symbol	structurally_recovered	adequate_junction_support	disease_direction_reproduced	treatment_reversal_reproduced	both_lines_corrected	disease_structural_match_reason	treatment_structural_match_reason	disease_best_coordinate_matches	disease_coordinate_fields	treatment_best_coordinate_matches	treatment_coordinate_fields	disease_best_coordinate_mismatch	treatment_best_coordinate_mismatch	structural_recovery_reason	raw_confirmation_limiting_reason
MXE|SEPTIN10|chr2|-|109567832|109567976|109574580|109574633|109565762|109565859|109585125|109585321	MXE	SEPTIN10	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	event_coordinate_mismatch	7	8	7	8	1stExonStart_0base:raw=109567814,frozen=109567832	1stExonStart_0base:raw=109567814,frozen=109567832	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch
MXE|TAOK1|chr17|+|29391918|29392033|29395852|29395991|29390924|29391024|29451454|29451680	MXE	TAOK1	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	event_coordinate_mismatch	4	8	4	8	2ndExonStart_0base:raw=29398252,frozen=29395852;2ndExonEnd:raw=29398348,frozen=29395991;upstreamES:raw=29390955,frozen=29390924;downstreamEE:raw=29451707,frozen=29451680	2ndExonStart_0base:raw=29398252,frozen=29395852;2ndExonEnd:raw=29398348,frozen=29395991;upstreamES:raw=29390955,frozen=29390924;downstreamEE:raw=29451707,frozen=29451680	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch
MXE|SOBP|chr6|+|107529458|107529611|107530917|107531048|107506241|107506427|107533458|107533610	MXE	SOBP	FALSE	FALSE	FALSE	FALSE	FALSE	exact_match	event_coordinate_mismatch	8	8	0	8		1stExonStart_0base:raw=107506241,frozen=107529458;1stExonEnd:raw=107506427,frozen=107529611;2ndExonStart_0base:raw=107633513,frozen=107530917;2ndExonEnd:raw=107635469,frozen=107531048;upstreamES:raw=107503656,frozen=107506241;upstreamEE:raw=107503795,frozen=107506427;downstreamES:raw=107658206,frozen=107533458;downstreamEE:raw=107661306,frozen=107533610	disease_exact_match;treatment_event_coordinate_mismatch	disease_exact_match;treatment_event_coordinate_mismatch
MXE|CCBL2|chr1|-|88962931|88963087|88964555|88964669|88962058|88962145|88964828|88964978	MXE	CCBL2	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	no_same_gene_event_class_candidate	7	8	0	8	2ndExonEnd:raw=88964712,frozen=88964669		disease_event_coordinate_mismatch;treatment_no_same_gene_event_class_candidate	disease_event_coordinate_mismatch;treatment_no_same_gene_event_class_candidate
MXE|MVD|chr16|-|88657734|88658029|88660519|88660838|88657435|88657582|88663010|88663149	MXE	MVD	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	no_same_gene_event_class_candidate	1	8	0	8	1stExonStart_0base:raw=88660519,frozen=88657734;1stExonEnd:raw=88660838,frozen=88658029;2ndExonStart_0base:raw=88662023,frozen=88660519;2ndExonEnd:raw=88662167,frozen=88660838;upstreamES:raw=88658649,frozen=88657435;upstreamEE:raw=88658720,frozen=88657582;downstreamEE:raw=88663161,frozen=88663149		disease_event_coordinate_mismatch;treatment_no_same_gene_event_class_candidate	disease_event_coordinate_mismatch;treatment_no_same_gene_event_class_candidate
MXE|BZRAP1|chr17|-|58324788|58325002|58326292|58326419|58323467|58323545|58326682|58326790	MXE	BZRAP1	FALSE	FALSE	FALSE	FALSE	FALSE	no_same_gene_event_class_candidate	event_coordinate_mismatch	0	8	0	8		1stExonStart_0base:raw=58326292,frozen=58324788;1stExonEnd:raw=58326421,frozen=58325002;2ndExonStart_0base:raw=58326682,frozen=58326292;2ndExonEnd:raw=58326790,frozen=58326419;upstreamES:raw=58324810,frozen=58323467;upstreamEE:raw=58325002,frozen=58323545;downstreamES:raw=58327587,frozen=58326682;downstreamEE:raw=58328760,frozen=58326790	disease_no_same_gene_event_class_candidate;treatment_event_coordinate_mismatch	disease_no_same_gene_event_class_candidate;treatment_event_coordinate_mismatch
MXE|ALMS1|chr2|+|73399257|73399343|73408621|73408747|73385757|73386192|73419122|73419318	MXE	ALMS1	FALSE	FALSE	FALSE	FALSE	FALSE	no_same_gene_event_class_candidate	no_same_gene_event_class_candidate	0	8	0	8			disease_no_same_gene_event_class_candidate;treatment_no_same_gene_event_class_candidate	disease_no_same_gene_event_class_candidate;treatment_no_same_gene_event_class_candidate
MXE|POFUT2|chr21|-|45284025|45284140|45285268|45285328|45283382|45283527|45285677|45285928	MXE	POFUT2	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	no_same_gene_event_class_candidate	4	8	0	8	1stExonStart_0base:raw=45283382,frozen=45284025;1stExonEnd:raw=45283527,frozen=45284140;upstreamES:raw=45282348,frozen=45283382;upstreamEE:raw=45282459,frozen=45283527		disease_event_coordinate_mismatch;treatment_no_same_gene_event_class_candidate	disease_event_coordinate_mismatch;treatment_no_same_gene_event_class_candidate
MXE|POFUT2|chr21|-|45284025|45284140|45285268|45285372|45283382|45283527|45285677|45285928	MXE	POFUT2	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	no_same_gene_event_class_candidate	3	8	0	8	1stExonStart_0base:raw=45283382,frozen=45284025;1stExonEnd:raw=45283527,frozen=45284140;2ndExonEnd:raw=45285328,frozen=45285372;upstreamES:raw=45282348,frozen=45283382;upstreamEE:raw=45282459,frozen=45283527		disease_event_coordinate_mismatch;treatment_no_same_gene_event_class_candidate	disease_event_coordinate_mismatch;treatment_no_same_gene_event_class_candidate
MXE|POFUT2|chr21|-|45284025|45284230|45285268|45285372|45283382|45283527|45285677|45285928	MXE	POFUT2	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	no_same_gene_event_class_candidate	4	8	0	8	2ndExonStart_0base:raw=45284426,frozen=45285268;2ndExonEnd:raw=45284518,frozen=45285372;downstreamES:raw=45285268,frozen=45285677;downstreamEE:raw=45285328,frozen=45285928		disease_event_coordinate_mismatch;treatment_no_same_gene_event_class_candidate	disease_event_coordinate_mismatch;treatment_no_same_gene_event_class_candidate
MXE|POFUT2|chr21|-|45284025|45284518|45285268|45285372|45283382|45283527|45285677|45285928	MXE	POFUT2	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	no_same_gene_event_class_candidate	3	8	0	8	1stExonStart_0base:raw=45283382,frozen=45284025;1stExonEnd:raw=45283527,frozen=45284518;2ndExonEnd:raw=45285328,frozen=45285372;upstreamES:raw=45282348,frozen=45283382;upstreamEE:raw=45282459,frozen=45283527		disease_event_coordinate_mismatch;treatment_no_same_gene_event_class_candidate	disease_event_coordinate_mismatch;treatment_no_same_gene_event_class_candidate
MXE|WDR6|chr3|+|49008908|49009024|49011420|49011459|49007203|49007531|49011634|49014116	MXE	WDR6	FALSE	FALSE	FALSE	FALSE	FALSE	no_same_gene_event_class_candidate	no_same_gene_event_class_candidate	0	8	0	8			disease_no_same_gene_event_class_candidate;treatment_no_same_gene_event_class_candidate	disease_no_same_gene_event_class_candidate;treatment_no_same_gene_event_class_candidate
MXE|TMEM175|chr4|+|951645|951717|952366|952539|951206|951258|953189|953354	MXE	TMEM175	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	event_coordinate_mismatch	7	8	7	8	2ndExonEnd:raw=952450,frozen=952539	2ndExonEnd:raw=952450,frozen=952539	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch
MXE|ANAPC10|chr4|-|145097494|145097562|145097687|145098015|145095984|145096111|145098119|145098219	MXE	ANAPC10	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	no_same_gene_event_class_candidate	0	8	0	8	1stExonStart_0base:raw=145064571,frozen=145097494;1stExonEnd:raw=145064692,frozen=145097562;2ndExonStart_0base:raw=145081659,frozen=145097687;2ndExonEnd:raw=145081750,frozen=145098015;upstreamES:raw=145033044,frozen=145095984;upstreamEE:raw=145033371,frozen=145096111;downstreamES:raw=145095984,frozen=145098119;downstreamEE:raw=145096111,frozen=145098219		disease_event_coordinate_mismatch;treatment_no_same_gene_event_class_candidate	disease_event_coordinate_mismatch;treatment_no_same_gene_event_class_candidate
RI|ABCA1|chr9|-|104799571|104799988|104799571|104799733|104799818|104799988	RI	ABCA1	FALSE	FALSE	FALSE	FALSE	FALSE	exact_match	no_same_gene_event_class_candidate	6	6	0	6			disease_exact_match;treatment_no_same_gene_event_class_candidate	disease_exact_match;treatment_no_same_gene_event_class_candidate
RI|ZC3H18|chr16|+|88623218|88623587|88623218|88623344|88623541|88623587	RI	ZC3H18	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	event_coordinate_mismatch	0	6	0	6	riExonStart_0base:raw=88622196,frozen=88623218;riExonEnd:raw=88623344,frozen=88623587;upstreamES:raw=88622196,frozen=88623218;upstreamEE:raw=88622388,frozen=88623344;downstreamES:raw=88623218,frozen=88623541;downstreamEE:raw=88623344,frozen=88623587	riExonStart_0base:raw=88622196,frozen=88623218;riExonEnd:raw=88623344,frozen=88623587;upstreamES:raw=88622196,frozen=88623218;upstreamEE:raw=88622388,frozen=88623344;downstreamES:raw=88623218,frozen=88623541;downstreamEE:raw=88623344,frozen=88623587	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch
RI|ANO8|chr19|-|17327449|17327880|17327449|17327566|17327688|17327880	RI	ANO8	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	no_same_gene_event_class_candidate	4	6	0	6	riExonStart_0base:raw=17327452,frozen=17327449;upstreamES:raw=17327452,frozen=17327449		disease_event_coordinate_mismatch;treatment_no_same_gene_event_class_candidate	disease_event_coordinate_mismatch;treatment_no_same_gene_event_class_candidate
RI|COL5A2|chr2|-|189100106|189100418|189100106|189100139|189100333|189100418	RI	COL5A2	TRUE	TRUE	FALSE	FALSE	FALSE	exact_match	exact_match	6	6	6	6			recovered	disease_direction_not_reproduced
RI|ASAP1|chr8|-|130115627|130116014|130115627|130115735|130115817|130116014	RI	ASAP1	TRUE	FALSE	TRUE	TRUE	FALSE	exact_match	exact_match	6	6	6	6			recovered	insufficient_junction_support
RI|NAV1|chr1|+|201794171|201794577|201794171|201794376|201794465|201794577	RI	NAV1	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	event_coordinate_mismatch	0	6	0	6	riExonStart_0base:raw=201790553,frozen=201794171;riExonEnd:raw=201790850,frozen=201794577;upstreamES:raw=201790553,frozen=201794171;upstreamEE:raw=201790577,frozen=201794376;downstreamES:raw=201790688,frozen=201794465;downstreamEE:raw=201790850,frozen=201794577	riExonStart_0base:raw=201790553,frozen=201794171;riExonEnd:raw=201790850,frozen=201794577;upstreamES:raw=201790553,frozen=201794171;upstreamEE:raw=201790577,frozen=201794376;downstreamES:raw=201790688,frozen=201794465;downstreamEE:raw=201790850,frozen=201794577	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch
RI|CCNT2|chr2|+|134945786|134946146|134945786|134945975|134946100|134946146	RI	CCNT2	FALSE	FALSE	FALSE	FALSE	FALSE	no_same_gene_event_class_candidate	no_same_gene_event_class_candidate	0	6	0	6			disease_no_same_gene_event_class_candidate;treatment_no_same_gene_event_class_candidate	disease_no_same_gene_event_class_candidate;treatment_no_same_gene_event_class_candidate
RI|MTHFD1|chr14|+|64427336|64427761|64427336|64427473|64427651|64427761	RI	MTHFD1	FALSE	FALSE	FALSE	FALSE	FALSE	no_same_gene_event_class_candidate	no_same_gene_event_class_candidate	0	6	0	6			disease_no_same_gene_event_class_candidate;treatment_no_same_gene_event_class_candidate	disease_no_same_gene_event_class_candidate;treatment_no_same_gene_event_class_candidate
RI|CLCN6|chr1|+|11833175|11833638|11833175|11833383|11833514|11833638	RI	CLCN6	FALSE	FALSE	FALSE	FALSE	FALSE	exact_match	no_same_gene_event_class_candidate	6	6	0	6			disease_exact_match;treatment_no_same_gene_event_class_candidate	disease_exact_match;treatment_no_same_gene_event_class_candidate
RI|ENTHD2|chr17|-|81238635|81239091|81238635|81238873|81238985|81239091	RI	ENTHD2	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	event_coordinate_mismatch	0	6	0	6	riExonStart_0base:raw=81236979,frozen=81238635;riExonEnd:raw=81237459,frozen=81239091;upstreamES:raw=81236979,frozen=81238635;upstreamEE:raw=81237071,frozen=81238873;downstreamES:raw=81237386,frozen=81238985;downstreamEE:raw=81237459,frozen=81239091	riExonStart_0base:raw=81236979,frozen=81238635;riExonEnd:raw=81237459,frozen=81239091;upstreamES:raw=81236979,frozen=81238635;upstreamEE:raw=81237071,frozen=81238873;downstreamES:raw=81237386,frozen=81238985;downstreamEE:raw=81237459,frozen=81239091	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch
RI|MRFAP1|chr4|+|6641231|6641610|6641231|6641258|6641445|6641610	RI	MRFAP1	FALSE	FALSE	FALSE	FALSE	FALSE	no_same_gene_event_class_candidate	no_same_gene_event_class_candidate	0	6	0	6			disease_no_same_gene_event_class_candidate;treatment_no_same_gene_event_class_candidate	disease_no_same_gene_event_class_candidate;treatment_no_same_gene_event_class_candidate
RI|KIF3C|chr2|-|25956066|25956444|25956066|25956166|25956342|25956444	RI	KIF3C	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	no_same_gene_event_class_candidate	4	6	0	6	riExonStart_0base:raw=25956097,frozen=25956066;upstreamES:raw=25956097,frozen=25956066		disease_event_coordinate_mismatch;treatment_no_same_gene_event_class_candidate	disease_event_coordinate_mismatch;treatment_no_same_gene_event_class_candidate
RI|C5orf42|chr5|-|37121616|37122104|37121616|37121784|37121867|37122104	RI	C5orf42	FALSE	FALSE	FALSE	FALSE	FALSE	exact_match	event_coordinate_mismatch	6	6	3	6		riExonEnd:raw=37122488,frozen=37122104;downstreamES:raw=37122429,frozen=37121867;downstreamEE:raw=37122488,frozen=37122104	disease_exact_match;treatment_event_coordinate_mismatch	disease_exact_match;treatment_event_coordinate_mismatch
RI|PYGB|chr20|+|25288027|25288483|25288027|25288225|25288424|25288483	RI	PYGB	FALSE	FALSE	FALSE	FALSE	FALSE	exact_match	no_same_gene_event_class_candidate	6	6	0	6			disease_exact_match;treatment_no_same_gene_event_class_candidate	disease_exact_match;treatment_no_same_gene_event_class_candidate
RI|LARP1|chr5|+|154799590|154799928|154799590|154799759|154799899|154799928	RI	LARP1	FALSE	FALSE	FALSE	FALSE	FALSE	event_coordinate_mismatch	event_coordinate_mismatch	2	6	0	6	riExonStart_0base:raw=154799740,frozen=154799590;riExonEnd:raw=154800042,frozen=154799928;upstreamES:raw=154799740,frozen=154799590;downstreamEE:raw=154800042,frozen=154799928	riExonStart_0base:raw=154795174,frozen=154799590;riExonEnd:raw=154795319,frozen=154799928;upstreamES:raw=154795174,frozen=154799590;upstreamEE:raw=154795186,frozen=154799759;downstreamES:raw=154795274,frozen=154799899;downstreamEE:raw=154795319,frozen=154799928	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch	disease_event_coordinate_mismatch;treatment_event_coordinate_mismatch
